Opponent,Game,Player Name,URL,Week,Date,Game Start,Year,Season
OAK,1,Levy Adcock,http://www.nfl.com/player/levyadcock/2532784/gamelogs,1,08/13,0,Game Log: 2012 ,Preseason
GB,1,Tius Adams,http://www.nfl.com/player/titusadams/2506981/gamelogs,1,08/14,0,Game Log: 2010 ,Preseason
PIT,0,Bill Adams,http://www.nfl.com/player/billadams/2508229/gamelogs,1,09/03,--,Game Log: 1978 ,Regular Season
ATL,1,Toy Adams,http://www.nfl.com/player/tonyadams/2561295/gamelogs,1,08/08,0,Game Log: 2019 ,Preseason
MIN,0,Vashoe Adams,http://www.nfl.com/player/vashoneadams/2499359/gamelogs,18,01/09,0,Game Log: 1999 ,Postseason
LA,1,Bob Adams,http://www.nfl.com/player/bobadams/2508223/gamelogs,1,09/12,--,Game Log: 1976 ,Regular Season
STL,1,Willis Adams,http://www.nfl.com/player/willisadams/2508231/gamelogs,1,09/08,--,Game Log: 1985 ,Regular Season
HOU,1,Sa Adams,http://www.nfl.com/player/stanadams/2508225/gamelogs,1,09/02,--,Game Log: 1984 ,Regular Season
KC,1,Sefo Adams,http://www.nfl.com/player/stefonadams/2508226/gamelogs,18,01/05,--,Game Log: 1990 ,Postseason
SF,1,Nelso Adams,http://www.nfl.com/player/nelsonadams/2559130/gamelogs,2,08/19,0,Game Log: 2017 ,Preseason
PHI,1,Phillip Adams,http://www.nfl.com/player/phillipadams/1037889/gamelogs,1,09/14,1,Game Log: 2015 ,Regular Season
NYJ,1,Mehdi Abdesmad,http://www.nfl.com/player/mehdiabdesmad/2556718/gamelogs,1,08/12,0,Game Log: 2017 ,Preseason
HOU,1,Mike Adams,http://www.nfl.com/player/mikeadams/2532783/gamelogs,1,09/11,0,Game Log: 2016 ,Regular Season
CIN,1,Kyle Adams,http://www.nfl.com/player/kyleadams/2530473/gamelogs,1,09/08,0,Game Log: 2013 ,Regular Season
SD,1,Michael Adams,http://www.nfl.com/player/michaeladams/2508219/gamelogs,4,10/01,--,Game Log: 1989 ,Regular Season
PIT,1,Kis Adams,http://www.nfl.com/player/krisadams/2530472/gamelogs,1,08/10,0,Game Log: 2013 ,Preseason
BUF,1,Mike Adams,http://www.nfl.com/player/mikeadams/2505708/gamelogs,18,01/04,0,Game Log: 2019 ,Postseason
NYJ,1,Johy Adams,http://www.nfl.com/player/johnnyadams/2539261/gamelogs,1,08/07,0,Game Log: 2014 ,Preseason
BUF,1,Keih Adams,http://www.nfl.com/player/keithadams/2504737/gamelogs,15,12/16,0,Game Log: 2007 ,Regular Season
BUF,1,Kedick Adams,http://www.nfl.com/player/kendrickadams/2535689/gamelogs,0,08/03,0,Game Log: 2014 ,Preseason
